source_id,pmfs_i,pmfs_j,x_m,y_m,primary_raw_nss,secondary_log1p_nss,raw_nss_seed_2026092401,raw_nss_seed_2026092402
pmfs_5_12,5,12,-3.74273,-3.7008799999999997,3.5778891333791742,2.5943535708093086,3.5996662192959867,3.5889524580494663
pmfs_4_15,4,15,-4.04273,-2.8008799999999994,3.6318867678032776,2.2288720198657317,4.2529909051968859,3.0947964268913295
pmfs_5_8,5,8,-3.74273,-4.900879999999999,3.6938866719988517,2.4766804780754632,3.8290762033941945,3.5666425336325114
pmfs_6_16,6,16,-3.44273,-2.5008799999999995,3.7502540053496118,2.266151464167685,3.9603795085720024,3.5569251463281497
pmfs_9_27,9,27,-2.54273,0.7991200000000003,3.7560526440208855,2.9040200966587819,3.9495697303867003,3.5928984623771782
pmfs_8_30,8,30,-2.84273,1.6991200000000006,3.7664151172362264,2.4799208443294987,3.8526656126536278,3.7329385774941106
pmfs_5_11,5,11,-3.74273,-4.0008799999999995,3.7826992038907612,2.3234644434567979,4.0138127691908698,3.5773510333558942
pmfs_4_13,4,13,-4.04273,-3.4008799999999995,3.7940585848505952,2.6909005716576901,3.8369895326898158,3.794909640459462
pmfs_13_24,13,24,-1.34273,-0.10088000000000008,3.8190730013854433,3.5171016556136401,3.7929630538631769,3.8802007969624217
pmfs_6_26,6,26,-3.44273,0.49912000000000045,3.8513104300099039,1.72687023089933,4.2083160844939442,3.5180476756216881
pmfs_12_23,12,23,-1.6427300000000002,-0.4008799999999999,3.8642123352121156,2.9445379417060868,4.0198635204652806,3.7228226041789458
pmfs_6_25,6,25,-3.44273,0.19912000000000063,3.8819901757025708,1.7327104768548511,4.3425677721718881,3.4600048978448257
pmfs_6_24,6,24,-3.44273,-0.10088000000000008,3.8842251800349206,1.7131778115053831,4.313591660289644,3.4889023502618421
pmfs_9_26,9,26,-2.54273,0.49912000000000045,3.9669001083164361,2.9981864932198978,4.0105329375364223,3.9356575074170919
