mode,candidate_id,source_sample,replica,source_x,source_y,score
persistent,quadtree_6_1_3_1,7,5,-5.20331096649169921875,-7.29247999191284179688,0.107978350850668267876
persistent,quadtree_6_1_3_1,7,6,-5.20331096649169921875,-7.29247999191284179688,0.115876411806716850063
persistent,quadtree_6_1_3_1,7,7,-5.20331096649169921875,-7.29247999191284179688,0.112809599214573123374
resampled,quadtree_8_4_1_5,-1,0,nan,nan,0.0672038507853725477375
fixed_center,quadtree_8_4_1_5,-1,0,-5.00000008940696716309,-5.93000003695487976074,0.0718486628001197079167
resampled,quadtree_8_4_1_5,-1,1,nan,nan,0.0660514323450361826999
fixed_center,quadtree_8_4_1_5,-1,1,-5.00000008940696716309,-5.93000003695487976074,0.0704348950522557185405
resampled,quadtree_8_4_1_5,-1,2,nan,nan,0.0654339231733104193303
fixed_center,quadtree_8_4_1_5,-1,2,-5.00000008940696716309,-5.93000003695487976074,0.0702373215882723724723
resampled,quadtree_8_4_1_5,-1,3,nan,nan,0.0664266544205607384457
fixed_center,quadtree_8_4_1_5,-1,3,-5.00000008940696716309,-5.93000003695487976074,0.0700530449201103347549
resampled,quadtree_8_4_1_5,-1,4,nan,nan,0.0721049664491954374031
fixed_center,quadtree_8_4_1_5,-1,4,-5.00000008940696716309,-5.93000003695487976074,0.0777360770694520135138
resampled,quadtree_8_4_1_5,-1,5,nan,nan,0.0669850728680915632145
fixed_center,quadtree_8_4_1_5,-1,5,-5.00000008940696716309,-5.93000003695487976074,0.0732470408922505871027
resampled,quadtree_8_4_1_5,-1,6,nan,nan,0.0700727721000913049418
fixed_center,quadtree_8_4_1_5,-1,6,-5.00000008940696716309,-5.93000003695487976074,0.0781744421758258270478
resampled,quadtree_8_4_1_5,-1,7,nan,nan,0.0656263309738218806306
fixed_center,quadtree_8_4_1_5,-1,7,-5.00000008940696716309,-5.93000003695487976074,0.0707623515373322030037
persistent,quadtree_8_4_1_5,0,0,-5.069675445556640625,-6.14552974700927734375,0.0788603704836138940295
persistent,quadtree_8_4_1_5,0,1,-5.069675445556640625,-6.14552974700927734375,0.0785820439994920150531
persistent,quadtree_8_4_1_5,0,2,-5.069675445556640625,-6.14552974700927734375,0.0751615087882130163629
persistent,quadtree_8_4_1_5,0,3,-5.069675445556640625,-6.14552974700927734375,0.0770369780740243566188
persistent,quadtree_8_4_1_5,0,4,-5.069675445556640625,-6.14552974700927734375,0.0861988799495109255864
persistent,quadtree_8_4_1_5,0,5,-5.069675445556640625,-6.14552974700927734375,0.0776610510973517078115
persistent,quadtree_8_4_1_5,0,6,-5.069675445556640625,-6.14552974700927734375,0.0842938506539614550167
persistent,quadtree_8_4_1_5,0,7,-5.069675445556640625,-6.14552974700927734375,0.077379695017347323874
persistent,quadtree_8_4_1_5,1,0,-5.05533647537231445312,-5.26516675949096679688,0.0598620928068147948312
persistent,quadtree_8_4_1_5,1,1,-5.05533647537231445312,-5.26516675949096679688,0.059396663668499794063
persistent,quadtree_8_4_1_5,1,2,-5.05533647537231445312,-5.26516675949096679688,0.059057115003111818545
persistent,quadtree_8_4_1_5,1,3,-5.05533647537231445312,-5.26516675949096679688,0.0586497610067736711079
persistent,quadtree_8_4_1_5,1,4,-5.05533647537231445312,-5.26516675949096679688,0.0607580663981091528431
persistent,quadtree_8_4_1_5,1,5,-5.05533647537231445312,-5.26516675949096679688,0.0590280083155148461039
persistent,quadtree_8_4_1_5,1,6,-5.05533647537231445312,-5.26516675949096679688,0.0608575821344670456916
persistent,quadtree_8_4_1_5,1,7,-5.05533647537231445312,-5.26516675949096679688,0.0584387124884032526974
persistent,quadtree_8_4_1_5,2,0,-4.86162090301513671875,-6.3199901580810546875,0.0845312903880996652226
persistent,quadtree_8_4_1_5,2,1,-4.86162090301513671875,-6.3199901580810546875,0.0855295487772304887701
persistent,quadtree_8_4_1_5,2,2,-4.86162090301513671875,-6.3199901580810546875,0.0779549064659649475133
persistent,quadtree_8_4_1_5,2,3,-4.86162090301513671875,-6.3199901580810546875,0.0844675242695347481636
persistent,quadtree_8_4_1_5,2,4,-4.86162090301513671875,-6.3199901580810546875,0.0948717054512451241134
